Nome,CNES,CNPJ,Nome Empresarial,CPF,Personalidade,Logradouro,Número,Telefone,Complemento,Bairro,CEP,Município,UF,Tipo Estabelecimento,Sub Tipo Estabelecimento,Esfera Administrativa,Gestão,Natureza da Organização,Dependência,Número Alvará,Órgão Expedidor,Data Expedição,url,VCo_Unidade,VEstado,VCodMunicipio,_id
UNIDADE MISTA DE ASSIS BRASIL,2001020,04034526001034,SECRETARIA DE ESTADO DE SAUDE,--,JURÍDICA,TRAVESSA OTILIA MARINHO DE AMORIM,S/N,(68) 3548 1145 /1415,LOT VICENTE BESSA,CASCATA,69935000,ASSIS BRASIL - IBGE - 120005,AC,UNIDADE MISTA,,ESTADUAL,DUPLA,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1200052001020&VEstado=12&VCodMunicipio=120005,1200052001020,12,120005,53ff7b0c25fe41bf5da6dd6c
VIGILANCIA SANITARIA E EPIDEMIOLOGICA DE ASSIS BRASIL,3797570,,PREFEITURA MUNICIPAL DE ASSIS BRASIL,--,JURÍDICA,RUA ENEIDE BATISTA,530,,,CENTRO,69935000,ASSIS BRASIL - IBGE - 120005,AC,UNIDADE DE VIGILANCIA EM SAUDE,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1200053797570&VEstado=12&VCodMunicipio=120005,1200053797570,12,120005,53ff7b0e25fe41bf5da6dd6d
UNIDADE BASICA DE SAUDE TEREZINHA BATISTA DOS SANTOS,2003066,,PREFEITURA MUNICIPAL DE ASSIS BRASIL,--,JURÍDICA,RUA RAFAEL MARTINS LEAO,622,(68) 5481414,,CENTRO,69935000,ASSIS BRASIL - IBGE - 120005,AC,CENTRO DE SAUDE/UNIDADE BASICA,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1200052003066&VEstado=12&VCodMunicipio=120005,1200052003066,12,120005,53ff7b0f25fe41bf5da6dd70
UNIDADE BASICA DE SAUDE GILDO FERREIRA DA SILVA,7436440,,PREFEITURA MUNICIPAL DE ASSIS BRASIL,--,JURÍDICA,RUA SENA MADUREIRA,2490,68-35481414,CASA,VILA NOVA,69935000,ASSIS BRASIL - IBGE - 120005,AC,CENTRO DE SAUDE/UNIDADE BASICA,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1200057436440&VEstado=12&VCodMunicipio=120005,1200057436440,12,120005,53ff7b1025fe41bf5da6dd71
UNIDADE BASICA DE SAUDE ANTONIO ALVES CAVALCANTE,3797554,,PREFEITURA MUNICIPAL DE ASSIS BRASIL,--,JURÍDICA,RUA JOAO JOSE DO BOMFIM,S/N,,,BELA VISTA,69935000,ASSIS BRASIL - IBGE - 120005,AC,CENTRO DE SAUDE/UNIDADE BASICA,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1200053797554&VEstado=12&VCodMunicipio=120005,1200053797554,12,120005,53ff7b1025fe41bf5da6dd72
SECRETARIA MUNICIPAL DE SAUDE DE ASSIS BRASIL,6289959,,PREFEITURA MUNICIPAL DE ASSIS BRASIL,--,JURÍDICA,RUA DOM GIOCONDO MARIA GROTT,425,(68) 3548-1414,PREDIO,CENTRO,69935000,ASSIS BRASIL - IBGE - 120005,AC,SECRETARIA DE SAUDE,MUNICIPAL/SEDE,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1200056289959&VEstado=12&VCodMunicipio=120005,1200056289959,12,120005,53ff7b1025fe41bf5da6dd73
POLO BASE DE ASSIS BRASIL,6428940,,DISTRITO SANITARIO ESPECIAL INDIGENA DO ALTO RIO PURUS,--,JURÍDICA,AVENIDA RAIMUNDO CHAAR,633,(68) 3548-1098,PREDIO,CENTRO,69935000,ASSIS BRASIL - IBGE - 120005,AC,UNIDADE DE ATENCAO A SAUDE INDIGENA,POLO-BASE TIPO II,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1200056428940&VEstado=12&VCodMunicipio=120005,1200056428940,12,120005,53ff7b1025fe41bf5da6dd74
AMBULANCIA USB ASSIS BRASIL 16,7051808,,SECRETARIA DE ESTADO DE SAUDE,--,JURÍDICA,TRAVESSA OTILIA MARINHO DE AMORIM,S/N,,LOTEAMENTO VICENTE B,CASCATA,69935000,ASSIS BRASIL - IBGE - 120005,AC,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA,,ESTADUAL,ESTADUAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1200057051808&VEstado=12&VCodMunicipio=120005,1200057051808,12,120005,53ff7b1125fe41bf5da6dd75
LABORATORIO DE ANALISE CLINICAS,7520018,,PREFEITURA MUNICIPAL DE ASSIS BRASIL,--,JURÍDICA,RUA DOM GIOCONDO MARIA GROTT,S/N,,,CENTRO,69935000,ASSIS BRASIL - IBGE - 120005,AC,LABORATORIO DE SAUDE PUBLICA,LABORATORIO MUNICIPAL,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1200057520018&VEstado=12&VCodMunicipio=120005,1200057520018,12,120005,53ff7b1125fe41bf5da6dd76
UNIDADE MISTA DE SAUDE DE ACRELANDIA,5701929,,SECRETARIA DE ESTADO DE SAUDE,--,JURÍDICA,AVENIDA PARANA,346,6832351188,,CENTRO,69945000,ACRELANDIA - IBGE - 120001,AC,UNIDADE MISTA,,ESTADUAL,ESTADUAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1200015701929&VEstado=12&VCodMunicipio=120001,1200015701929,12,120001,53ff7b1125fe41bf5da6dd77
UNIDADE DE SAUDE DA FAMILIA RICARDO MONTEIRO ROLA,3393984,,PRFEITURA DE ACRELANDIA,--,JURÍDICA,RUA 07 QUEDAS,284,6832351426,USF,CENTRO,69945000,ACRELANDIA - IBGE - 120001,AC,CENTRO DE SAUDE/UNIDADE BASICA,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1200013393984&VEstado=12&VCodMunicipio=120001,1200013393984,12,120001,53ff7b1125fe41bf5da6dd78
UNIDADE DE SAUDE DA FAMILIA REDENCAO,5403669,,PREFEITURA MUNICIPAL DE ACRELANDIA,--,JURÍDICA,AC 475 VILA REDENCAOI,,6832351426,USF,ZONA RURAL,69945000,ACRELANDIA - IBGE - 120001,AC,CENTRO DE SAUDE/UNIDADE BASICA,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1200015403669&VEstado=12&VCodMunicipio=120001,1200015403669,12,120001,53ff7b1225fe41bf5da6dd79
UNIDADE DE SAUDE DA FAMILIA JOAO DANIEL DAMASCENO,3638685,,PREFEITURA MUNICIPAL DE ACRELANDIA,--,JURÍDICA,BR 364 KM 114,114,68-32321426,USF,ZONA RURAL,69945000,ACRELANDIA - IBGE - 120001,AC,CENTRO DE SAUDE/UNIDADE BASICA,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1200013638685&VEstado=12&VCodMunicipio=120001,1200013638685,12,120001,53ff7b1225fe41bf5da6dd7a
UNIDADE DE SAUDE DA FAMILIA CICERO BATISTA,3382745,,PREFEITURA DE ACRELANDIA,--,JURÍDICA,RAMAL GRANADA KM 16,16,6832351426,USF,ZONA RURAL,69945000,ACRELANDIA - IBGE - 120001,AC,CENTRO DE SAUDE/UNIDADE BASICA,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1200013382745&VEstado=12&VCodMunicipio=120001,1200013382745,12,120001,53ff7b1225fe41bf5da6dd7b
UNIDADE DE SAUDE DA FAMILIA NORTON VITORINO BOHEN,3006166,,PREFEITURA DE ACRELANDIA,--,JURÍDICA,RUA PARANA,344,6832351426,USF,CENTRO,69945000,ACRELANDIA - IBGE - 120001,AC,CENTRO DE SAUDE/UNIDADE BASICA,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1200013006166&VEstado=12&VCodMunicipio=120001,1200013006166,12,120001,53ff7b1225fe41bf5da6dd7c
SECRETARIA DE SAUDE,6514669,,SECRETARIA MUNICIPAL DE SAUDE DE ACRELANDIA,--,JURÍDICA,AVENIDA BRASIL,591,6832351426,,CENTRO,69945000,ACRELANDIA - IBGE - 120001,AC,SECRETARIA DE SAUDE,MUNICIPAL/SEDE,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1200016514669&VEstado=12&VCodMunicipio=120001,1200016514669,12,120001,53ff7b1325fe41bf5da6dd7d
POSTO DE SAUDE CIRO PORTELA,2002043,,PREFEITURA MUNICIPAL DE ACRELANDIA,--,JURÍDICA,RAMAL DO BIGODE SN,06,6832351426,,ZONA RURAL,69945000,ACRELANDIA - IBGE - 120001,AC,POSTO DE SAUDE,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1200012002043&VEstado=12&VCodMunicipio=120001,1200012002043,12,120001,53ff7b1325fe41bf5da6dd7e
POSTO DE SAUDE DO VINTE E QUATRO,2001950,,PREFEITURA MUNICPAL DE ACRELANDIA,--,JURÍDICA,RAMAL GRANADA,S/N,(68) 2351426,KM 24,RAMAL GRANADA,69945000,ACRELANDIA - IBGE - 120001,AC,POSTO DE SAUDE,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1200012001950&VEstado=12&VCodMunicipio=120001,1200012001950,12,120001,53ff7b1325fe41bf5da6dd7f
POSTO DE SAUDE JOSE PLACIDO DE CASTRO,2002159,,PREFEITURA MUNICPAL DE ACRELANDIA,--,JURÍDICA,RAMAL DO CUMARU S N KM 16,16,(68) 2351426,QUATRO BOCAS,ZONA RURAL,69945000,ACRELANDIA - IBGE - 120001,AC,POSTO DE SAUDE,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1200012002159&VEstado=12&VCodMunicipio=120001,1200012002159,12,120001,53ff7b1325fe41bf5da6dd80
AMBULANCIA USB ACRELANDIA 11,7026641,,SECRETARIA DE ESTADO DE SAUDE,--,JURÍDICA,RUA GERALDO BARBOSA,385,,,CENTRO,69945000,ACRELANDIA - IBGE - 120001,AC,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA,,ESTADUAL,ESTADUAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1200017026641&VEstado=12&VCodMunicipio=120001,1200017026641,12,120001,53ff7b1425fe41bf5da6dd81
