Nome,CNES,CNPJ,Nome Empresarial,CPF,Personalidade,Logradouro,Número,Telefone,Complemento,Bairro,CEP,Município,UF,Tipo Estabelecimento,Sub Tipo Estabelecimento,Esfera Administrativa,Gestão,Natureza da Organização,Dependência,Número Alvará,Órgão Expedidor,Data Expedição,url,VCo_Unidade,VEstado,VCodMunicipio,_id
VIGILANCIA SANITARIA DE ALVARAES,6721265,,DEPARTAMENTO DE VIGILANCIA SANITARIA DE ALVARAES,--,JURÍDICA,RUA UARINI,139,,EM ANEXO AO P S,CENTRO,69540000,ALVARAES - IBGE - 130002,AM,UNIDADE DE VIGILANCIA EM SAUDE,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1300026721265&VEstado=13&VCodMunicipio=130002,1300026721265,13,130002,53ff828ea1bc789162f981ca
UBS ELISANGELA LITAIFF,7434588,,FUNDO MUNICIPAL DE SAUDE DE ALVARAES SECRET MUNIC DE SAUDE,--,JURÍDICA,RUA RAIMUNDO FRAZAO GONCALVES,S/N,33451316,,OCINE LITAIFF,69540000,ALVARAES - IBGE - 130002,AM,POSTO DE SAUDE,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1300027434588&VEstado=13&VCodMunicipio=130002,1300027434588,13,130002,53ff828ea1bc789162f981cb
UNIDADE HOSPITALAR DE ALVARAES,2017768,00697295006804,HOSPITAL SAO JOAQUIM,--,JURÍDICA,ESTRADA ALVARAES NOGUEIRA,S/N,(97)3451204,,SANTA LUZIA,69540000,ALVARAES - IBGE - 130002,AM,HOSPITAL GERAL,,ESTADUAL,ESTADUAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,002/2013,SMS,02/01/2013,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1300022017768&VEstado=13&VCodMunicipio=130002,1300022017768,13,130002,53ff828ea1bc789162f981cc
SECRETARIA MUNICIPAL DE SAUDE DE ALVARAES,6570275,,PREFEITURA MUNICIPAL DE ALVARAES,--,JURÍDICA,RUA TEFE,S/N,(97) 3345-1322,,CENTRO,69540000,ALVARAES - IBGE - 130002,AM,SECRETARIA DE SAUDE,MUNICIPAL/SEDE,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,SMS,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1300026570275&VEstado=13&VCodMunicipio=130002,1300026570275,13,130002,53ff828ea1bc789162f981cd
POSTO DE SAUDE VILA NOGUEIRA,6834132,,POSTO DE SAUDE VILA NOGUEIRA,--,JURÍDICA,RUA NITEROI,S/N,,,COMUNIDADE DE NOGUEI,69540000,ALVARAES - IBGE - 130002,AM,POSTO DE SAUDE,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,47/2011,SMS,28/06/2011,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1300026834132&VEstado=13&VCodMunicipio=130002,1300026834132,13,130002,53ff828fa1bc789162f981ce
POSTO DE SAUDE SANTA LUZIA,6848249,,POSTO DE SAUDE SANTA LUZIA,--,JURÍDICA,RUA RAIMUNDO VASCONCELOS LAVOR,540,,,SANTA LUZIA,69540000,ALVARAES - IBGE - 130002,AM,POSTO DE SAUDE,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1300026848249&VEstado=13&VCodMunicipio=130002,1300026848249,13,130002,53ff828fa1bc789162f981cf
CENTRO DE SAUDE DE ALVARAES,2016451,,FUNDO MUNICIPAL DE SAUDE DE ALVARAES,--,JURÍDICA,RUA TEFE,126,(97) 3451322,,CENTRO,69540000,ALVARAES - IBGE - 130002,AM,CENTRO DE SAUDE/UNIDADE BASICA,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1300022016451&VEstado=13&VCodMunicipio=130002,1300022016451,13,130002,53ff8290a1bc789162f981d0
POLO BASE DE SAUDE INDIGENA MARAJAI,6834957,,POLO BASE DE SAUDE INDIGENA MARAJAI,--,JURÍDICA,COMUNIDADE DE MARAJAI,S/N,,ZONA RURAL,RIO SOLIMOES,69475000,ALVARAES - IBGE - 130002,AM,UNIDADE DE ATENCAO A SAUDE INDIGENA,POLO-BASE TIPO I,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,48/2011,SMS,28/06/2011,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1300026834957&VEstado=13&VCodMunicipio=130002,1300026834957,13,130002,53ff8290a1bc789162f981d1
VIGILANCIA SANITARIA COVISA,6893260,,VIGILANCIA SANITARIA,--,JURÍDICA,RUA RIO GRANDE DO SUL,S/N,97-3389-1148,ESQUINA COM A RUA AR,CENTRO,69265000,APUI - IBGE - 130014,AM,UNIDADE DE VIGILANCIA EM SAUDE,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1300146893260&VEstado=13&VCodMunicipio=130014,1300146893260,13,130014,53ff8290a1bc789162f981d2
UNIDADE HOSPITALAR DE APUI,2013282,00697295006219,SESUNIDADE HOSPITALAR APUI,--,JURÍDICA,AV ENGTHALLES MONTE RASO,S/N,(97)3389-1219,,VILA NOVA,69265000,APUI - IBGE - 130014,AM,HOSPITAL GERAL,,ESTADUAL,DUPLA,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,0723,SES,07/07/2006,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1300142013282&VEstado=13&VCodMunicipio=130014,1300142013282,13,130014,53ff8290a1bc789162f981d3
