Nome,CNES,CNPJ,Nome Empresarial,CPF,Personalidade,Logradouro,Número,Telefone,Complemento,Bairro,CEP,Município,UF,Tipo Estabelecimento,Sub Tipo Estabelecimento,Esfera Administrativa,Gestão,Natureza da Organização,Dependência,Número Alvará,Órgão Expedidor,Data Expedição,url,VCo_Unidade,VEstado,VCodMunicipio,_id
UNIDADE SAUDE DA FAMILIA VILA DE BEJA,3153622,,PREFEITURA MUNICIPAL DE ABAETETUBA,--,JURÍDICA,VIA DE BEJA,S/N,,,ZONA RURAL,68440000,ABAETETUBA - IBGE - 150010,PA,CENTRO DE SAUDE/UNIDADE BASICA,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1500103153622&VEstado=15&VCodMunicipio=150010,1500103153622,15,150010,5407dc7419decc6328e02a3a
UNIDADE SAUDE DA FAMILIA MURUTINGA,4005511,,PREFEITURA MUNICIPAL DE ABAETETUBA,--,JURÍDICA,COMUNIDADE DO MURUTINGA,S/N,(91)37512003,ZONA RURAL,CENTRO,68440000,ABAETETUBA - IBGE - 150010,PA,CENTRO DE SAUDE/UNIDADE BASICA,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1500104005511&VEstado=15&VCodMunicipio=150010,1500104005511,15,150010,5407dc7419decc6328e02a3c
VIGILANCIA EPIDEMIOLOGICA,2825384,,PREFEITURA MUNICIPAL DE ABAETETUBA,--,JURÍDICA,AV PEDRO RODRIGUES,S/N,,,CENTRO,68440000,ABAETETUBA - IBGE - 150010,PA,CENTRO DE SAUDE/UNIDADE BASICA,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1500102825384&VEstado=15&VCodMunicipio=150010,1500102825384,15,150010,5407dc7419decc6328e02a3d
UNIDADE SAUDE DA FAMILIA CENTRO DE PAZ,3843661,,PREFEITURA MUNICIPAL DE ABAETETUBA,--,JURÍDICA,SANTA CLARA,234,,,SANTA CLARA,68440000,ABAETETUBA - IBGE - 150010,PA,CENTRO DE SAUDE/UNIDADE BASICA,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1500103843661&VEstado=15&VCodMunicipio=150010,1500103843661,15,150010,5407dc7619decc6328e02a3e
UNIDADE MOVEL PESCADOR DE SAUDE,3165396,,PREFEITURA MUNICIPAL DE ABAETETUBA,--,JURÍDICA,AV PEDRO RODRIGUES,S/N,,,CENTRO,68440000,ABAETETUBA - IBGE - 150010,PA,UNIDADE MOVEL FLUVIAL,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1500103165396&VEstado=15&VCodMunicipio=150010,1500103165396,15,150010,5407dc7719decc6328e02a3f
UNIDADE MOVEL GINECOLOGICA,5417171,,PREFEITURA MUNICIPAL DE ABAETETUBA,--,JURÍDICA,RUA BARAO DO RIO BRANCO,1232,91-37512003,,ALGODOAL,68440000,ABAETETUBA - IBGE - 150010,PA,UNIDADE MOVEL TERRESTRE,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1500105417171&VEstado=15&VCodMunicipio=150010,1500105417171,15,150010,5407dc7719decc6328e02a40
UNIDADE SAUDE DA FAMILIA COLONIA JOAO MIRANDA,4005228,,PREFEITURA MUNICIPAL DE ABAETETUBA,--,JURÍDICA,COLONIA JOAO MIRANDA,S/N,(91)37512003,ZONA RURAL,COLONIA,68440000,ABAETETUBA - IBGE - 150010,PA,CENTRO DE SAUDE/UNIDADE BASICA,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1500104005228&VEstado=15&VCodMunicipio=150010,1500104005228,15,150010,5407dc7719decc6328e02a41
UNIDADE MOVEL,4005589,,PREFEITURA MUNICIPAL DE ABAETETUBA,--,JURÍDICA,RUA BARAO DO RIO BRANCO,S/N,,,CENTRO,68440000,ABAETETUBA - IBGE - 150010,PA,UNIDADE MOVEL TERRESTRE,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1500104005589&VEstado=15&VCodMunicipio=150010,1500104005589,15,150010,5407dc7819decc6328e02a43
UNIDADE DE SAUDE DA FAMILIA DO ALGODOAL,4005554,,PREFEITURA MUNICIPAL DE ABAETETUBA,--,JURÍDICA,RUA BERLINDO PINHEIRO,530,(91)37512003,,ALGODOAL,68440000,ABAETETUBA - IBGE - 150010,PA,CENTRO DE SAUDE/UNIDADE BASICA,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1500104005554&VEstado=15&VCodMunicipio=150010,1500104005554,15,150010,5407dc7819decc6328e02a44
UNIDADE DE VIGILANCIA SANITARIA,4005562,,PREFEITURA MUNICIPAL DE ABAETETUBA,--,JURÍDICA,RUA BARAO DO RIO BRANCO,1181,(91)37512003,,CENTRO,68440000,ABAETETUBA - IBGE - 150010,PA,CENTRO DE SAUDE/UNIDADE BASICA,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1500104005562&VEstado=15&VCodMunicipio=150010,1500104005562,15,150010,5407dc7b19decc6328e02a45
UNIDADE DE SAUDE DA FAMILIA DO SAO JOAO,6440576,,PREFEITURA MUNICIPAL DE ABAETETUBA,--,JURÍDICA,RUA TANCREDO NEVES,S/N,,,SAO JOAO,68440000,ABAETETUBA - IBGE - 150010,PA,CENTRO DE SAUDE/UNIDADE BASICA,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1500106440576&VEstado=15&VCodMunicipio=150010,1500106440576,15,150010,5407dc7b19decc6328e02a46
