Nome,CNES,CNPJ,Nome Empresarial,CPF,Personalidade,Logradouro,Número,Telefone,Complemento,Bairro,CEP,Município,UF,Tipo Estabelecimento,Sub Tipo Estabelecimento,Esfera Administrativa,Gestão,Natureza da Organização,Dependência,Número Alvará,Órgão Expedidor,Data Expedição,url,VCo_Unidade,VEstado,VCodMunicipio,_id
USF JOSE PAULINO DE SOUZA AGUIAR,2322145,,PREFEITURA MUNCIPAL DE AGUIAR,--,JURÍDICA,RUA SEVERINO AMANCIO,S/N,(83)4991035,,CENTRO,58778000,AGUIAR - IBGE - 250020,PB,CENTRO DE SAUDE/UNIDADE BASICA,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=2500202322145&VEstado=25&VCodMunicipio=250020,2500202322145,25,250020,5407e5d0643efceb2aa13d41
UNIDADE DE SAUDE DA FAMILIA PSF AGUIAR,2322161,,PREFEITURA MUNICIPAL DE AGUIAR,--,JURÍDICA,SITIO RIACHO VERDE,S/N,(83)4991035,,SITIO,58778000,AGUIAR - IBGE - 250020,PB,CENTRO DE SAUDE/UNIDADE BASICA,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=2500202322161&VEstado=25&VCodMunicipio=250020,2500202322161,25,250020,5407e5d5643efceb2aa13d42
HOSPITAL FRANCISCO BENTO CABRAL,2322153,08778268004239,SECRETARIA DE ESTADO DA SAUDE,--,JURÍDICA,RUA PROJETADA,S/N,(83)4991044,,EVANDRO CABRAL,58778000,AGUIAR - IBGE - 250020,PB,HOSPITAL GERAL,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=2500202322153&VEstado=25&VCodMunicipio=250020,2500202322153,25,250020,5407e5d5643efceb2aa13d43
SERVICO DE ATENDIMENTO MOVEL DE URGENCIA SAMU 192,6828604,,FUNDO MUNICIPAL DE SAUDE DE AGUIAR,--,JURÍDICA,RUA FRANCISCO DEMETRIO,S/N,(83)3499-1190,,ENG EVANDRO CABRAL,58778000,AGUIAR - IBGE - 250020,PB,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=2500206828604&VEstado=25&VCodMunicipio=250020,2500206828604,25,250020,5407e5d5643efceb2aa13d44
POLO DE ACADEMIA DA SAUDE DE AGUIAR,7512945,,FUNDO MUNICIPAL DE SAUDE DE AGUIAR,--,JURÍDICA,RUA PROJETADA,S/N,,,CENTRO,58778000,AGUIAR - IBGE - 250020,PB,POLO ACADEMIA DA SAUDE,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=2500207512945&VEstado=25&VCodMunicipio=250020,2500207512945,25,250020,5407e5d5643efceb2aa13d45
SECRETARIA MUNICIPAL DE SAUDE DE AGUIAR,6407943,,FUNDO MUNICIPAL DE SAUDE DE AGUIAR,--,JURÍDICA,AV FRANCISCO DEMETRIO,S/N,(83)3499-1040,,CENTRO,58778000,AGUIAR - IBGE - 250020,PB,SECRETARIA DE SAUDE,MUNICIPAL/SEDE,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=2500206407943&VEstado=25&VCodMunicipio=250020,2500206407943,25,250020,5407e5d5643efceb2aa13d46
CENTRO DE ESPECIALIDADES ODONTOLOGICAS DE AGUIAR CEO,7485700,,FUNDO MUNICIPAL DE SAUDE DE AGUIAR,--,JURÍDICA,RUA JOAQUIM LOPES DE SOUSA,S/N,,,CENTRO,58778000,AGUIAR - IBGE - 250020,PB,CLINICA/CENTRO DE ESPECIALIDADE,CEO-I,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=2500207485700&VEstado=25&VCodMunicipio=250020,2500207485700,25,250020,5407e5d6643efceb2aa13d47
UNIDADE DE FISIOTERAPIA,6363091,,PREFEITURA MUNICIPAL DE ALGODAO DE JANDAIRA,--,JURÍDICA,RUA CONEGO JOSE RODRIGUES FIDELIS,S/N,36321068,,CENTRO,58399000,ALGODAO DE JANDAIRA - IBGE - 250057,PB,CLINICA/CENTRO DE ESPECIALIDADE,OUTROS,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=2500576363091&VEstado=25&VCodMunicipio=250057,2500576363091,25,250057,5407e5d6643efceb2aa13d48
UNIDADE BASICA DE SAUDE DA FAMILIA,2342340,,PREFEITURA MUNICPAL DE ALGODAO DE JANDAIRA,--,JURÍDICA,RUA CONEGO RODRIGUES FIDELIS,198,83 36321068,,CENTRO,58399000,ALGODAO DE JANDAIRA - IBGE - 250057,PB,CENTRO DE SAUDE/UNIDADE BASICA,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=2500572342340&VEstado=25&VCodMunicipio=250057,2500572342340,25,250057,5407e5d6643efceb2aa13d49
SECRETARIA MUNICIPAL DE SAUDE DE ALGODAO DE JANDAIRA,6427227,,PREFEITURA MUNICIPAL DE ALGODAO DE JANDAIRA,--,JURÍDICA,RUA MAURO RAFAEL,S/N,36321068,,CENTRO,58399000,ALGODAO DE JANDAIRA - IBGE - 250057,PB,SECRETARIA DE SAUDE,MUNICIPAL/SEDE,MUNICIPAL,MUNICIPAL,ADMINISTRACAO INDIRETA - ORGANIZACAO SOCIAL PUBLICA,MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=2500576427227&VEstado=25&VCodMunicipio=250057,2500576427227,25,250057,5407e5d6643efceb2aa13d4a
