Nome,CNES,CNPJ,Nome Empresarial,CPF,Personalidade,Logradouro,Número,Telefone,Complemento,Bairro,CEP,Município,UF,Tipo Estabelecimento,Sub Tipo Estabelecimento,Esfera Administrativa,Gestão,Natureza da Organização,Dependência,Número Alvará,Órgão Expedidor,Data Expedição,url,VCo_Unidade,VEstado,VCodMunicipio,_id
USF ZONA RURAL,6847501,,PREFEITURA MUNICIPAL DE ABREU E LIMA,--,JURÍDICA,PITANGA I II III,S/N,,,ZONA RURAL,53550050,ABREU E LIMA - IBGE - 260005,PE,CENTRO DE SAUDE/UNIDADE BASICA,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=2600056847501&VEstado=26&VCodMunicipio=260005,2600056847501,26,260005,540802c6c4952bc4322ef0f8
USF TIMBO,2713705,,PREFEITURA MUNICIPAL DE ABREU E LIMA,--,JURÍDICA,RUA CARLOS GOMES,425,(81)35412654,,TIMBO,53520130,ABREU E LIMA - IBGE - 260005,PE,CENTRO DE SAUDE/UNIDADE BASICA,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=2600052713705&VEstado=26&VCodMunicipio=260005,2600052713705,26,260005,540802c6c4952bc4322ef0f9
USF PLANALTO II,2714175,,PREFEITURA MUNICIPAL DE ABREU E LIMA,--,JURÍDICA,2 TRAV 31 DE MARCO,S/N,(81)3452-3394,,PLANALTO,53550797,ABREU E LIMA - IBGE - 260005,PE,CENTRO DE SAUDE/UNIDADE BASICA,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,SMS,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=2600052714175&VEstado=26&VCodMunicipio=260005,2600052714175,26,260005,540802c6c4952bc4322ef0fa
USF PLANALTO I,2713632,,PREFEITURA MUNICIPAL DE ABREU E LIMA,--,JURÍDICA,2 TRAV 31 DE MARCO,S/N,(81)3542-3394,,PLANALTO,53550797,ABREU E LIMA - IBGE - 260005,PE,CENTRO DE SAUDE/UNIDADE BASICA,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=2600052713632&VEstado=26&VCodMunicipio=260005,2600052713632,26,260005,540802c7c4952bc4322ef0fc
USF MATINHA,2714140,,PREFEITURA MUNICIPAL DE ABREU E LIMA,--,JURÍDICA,VILA DA COHAB,S/N,3542-4467,,MATINHA,53580300,ABREU E LIMA - IBGE - 260005,PE,CENTRO DE SAUDE/UNIDADE BASICA,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,SMS,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=2600052714140&VEstado=26&VCodMunicipio=260005,2600052714140,26,260005,540802c8c4952bc4322ef0fd
USF JAQUEIRA,2714108,,PREFEITURA MUNICIPAL DE ABREU E LIMA,--,JURÍDICA,RUA QUARENTA,S/N,(81)35423387,,CAETES III,53545650,ABREU E LIMA - IBGE - 260005,PE,CENTRO DE SAUDE/UNIDADE BASICA,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,SMS,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=2600052714108&VEstado=26&VCodMunicipio=260005,2600052714108,26,260005,540802c8c4952bc4322ef0fe
USF JAGUARIBE,2713624,,PREFEITURA MUNICIPAL DE ABREU E LIMA,--,JURÍDICA,SITIO JAGUARIBE,211,(81)35423230,,JAGUARIBE,53510470,ABREU E LIMA - IBGE - 260005,PE,CENTRO DE SAUDE/UNIDADE BASICA,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=2600052713624&VEstado=26&VCodMunicipio=260005,2600052713624,26,260005,540802c8c4952bc4322ef0ff
USF INHAMA,2714094,,PREFEITURA MUNICIPAL DE ABREU E LIMA,--,JURÍDICA,SITIO INHAMA,S/N,(81)35424463,,INHAMA,53510470,ABREU E LIMA - IBGE - 260005,PE,CENTRO DE SAUDE/UNIDADE BASICA,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=2600052714094&VEstado=26&VCodMunicipio=260005,2600052714094,26,260005,540802c8c4952bc4322ef100
USF FOSFATO II,2713616,,PREFEITURA MUNICIPAL DE ABREU E LIMA,--,JURÍDICA,RUA RIO PARANA,S/N,(81)35423384,,FOSFATO,53580720,ABREU E LIMA - IBGE - 260005,PE,CENTRO DE SAUDE/UNIDADE BASICA,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=2600052713616&VEstado=26&VCodMunicipio=260005,2600052713616,26,260005,540802cac4952bc4322ef101
USF FOSFATO I,2714019,,PREFEITURA MUNICIPAL DE ABREU E LIMA,--,JURÍDICA,RUA RIO PARANA,S/N,(81)35423384,,FOSFATO,53580720,ABREU E LIMA - IBGE - 260005,PE,CENTRO DE SAUDE/UNIDADE BASICA,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,SMS,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=2600052714019&VEstado=26&VCodMunicipio=260005,2600052714019,26,260005,540802cac4952bc4322ef102
