Nome,CNES,CNPJ,Nome Empresarial,CPF,Personalidade,Logradouro,Número,Telefone,Complemento,Bairro,CEP,Município,UF,Tipo Estabelecimento,Sub Tipo Estabelecimento,Esfera Administrativa,Gestão,Natureza da Organização,Dependência,Número Alvará,Órgão Expedidor,Data Expedição,url,VCo_Unidade,VEstado,VCodMunicipio,_id
UNIDADE DE VIGILANCIA SANITARIA URUPA,2808471,,PREFEITURA MUNICIPAL DE URUPA,--,JURÍDICA,AVN PRINCIPAL,S/N,,,CENTRO,76929000,URUPA - IBGE - 110170,RO,UNIDADE DE VIGILANCIA EM SAUDE,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1101702808471&VEstado=11&VCodMunicipio=110170,1101702808471,11,110170,53ff407189f4ef2034493aad
PS ZONA URBANA URUPA RO,6223419,,PS ZONA URBANA URUPA RO,--,JURÍDICA,RUA JOSE CARLOS PRESTES,12,,,SUMAUMA,76929000,URUPA - IBGE - 110170,RO,POSTO DE SAUDE,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,103000,SMS,27/04/2009,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1101706223419&VEstado=11&VCodMunicipio=110170,1101706223419,11,110170,53ff407189f4ef2034493aae
PS LINHA TN 10 URUPA,2744236,,PREFEITURA MUNICIPAL DE URUPA,--,JURÍDICA,LINHA TN 10,S/N,,,ZONA RURAL,78955000,URUPA - IBGE - 110170,RO,POSTO DE SAUDE,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1101702744236&VEstado=11&VCodMunicipio=110170,1101702744236,11,110170,53ff407289f4ef2034493aaf
PS LINHA TN 06 URUPA,2744228,,PREFEITURA MUNICIPAL DE URUPA,--,JURÍDICA,LINHA TN 06,S/N,,,ZONA RURAL,78955000,URUPA - IBGE - 110170,RO,POSTO DE SAUDE,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1101702744228&VEstado=11&VCodMunicipio=110170,1101702744228,11,110170,53ff407289f4ef2034493ab0
PS LINHA T 20 URUPA,2744201,,PREFEITURA MUNICIPAL DE URUPA,--,JURÍDICA,LINHA T 20,S/N,,,ZONA RURAL,78955000,URUPA - IBGE - 110170,RO,POSTO DE SAUDE,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1101702744201&VEstado=11&VCodMunicipio=110170,1101702744201,11,110170,53ff407389f4ef2034493ab1
PS LINHA T 01 URUPA,2744198,,PREFEITURA MUNICIPAL DE URUPA,--,JURÍDICA,LINHA T 01,S/N,,,ZONA RURAL,78955000,URUPA - IBGE - 110170,RO,POSTO DE SAUDE,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1101702744198&VEstado=11&VCodMunicipio=110170,1101702744198,11,110170,53ff407389f4ef2034493ab2
PS LINHA C 006 URUPA,2744031,,PREFEITURA MUNICIPAL DE URUPA,--,JURÍDICA,LINHA C 06,S/N,,,ZONA RURAL,78955000,URUPA - IBGE - 110170,RO,POSTO DE SAUDE,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1101702744031&VEstado=11&VCodMunicipio=110170,1101702744031,11,110170,53ff407389f4ef2034493ab3
PS LINHA C 005 URUPA,2744023,,PREFEITURA MUNICIPAL DE URUPA,--,JURÍDICA,LINHA C 05,S/N,,,ZONA RURAL,78955000,URUPA - IBGE - 110170,RO,POSTO DE SAUDE,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1101702744023&VEstado=11&VCodMunicipio=110170,1101702744023,11,110170,53ff407489f4ef2034493ab4
PS LINHA C 004 URUPA,2807629,,PREFEITURA MUNICIPAL DE URUPA,--,JURÍDICA,LINHA C 04,S/N,,,ZONA RURAL,78955000,URUPA - IBGE - 110170,RO,POSTO DE SAUDE,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1101702807629&VEstado=11&VCodMunicipio=110170,1101702807629,11,110170,53ff407489f4ef2034493ab5
PS LINHA C 002 URUPA,2744007,,PREFEITURA MUNICIPAL DE URUPA,--,JURÍDICA,LINHA C 02,S/N,,,ZONA RURAL,78955000,URUPA - IBGE - 110170,RO,POSTO DE SAUDE,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1101702744007&VEstado=11&VCodMunicipio=110170,1101702744007,11,110170,53ff407689f4ef2034493ab9
